id,certificate_number,fecha_inicio_vigencia,fecha_fin_periodo
207,29,2024-06-28,2025-06-28
208,8,2024-07-06,2025-07-06
209,17,2024-07-08,2025-07-08
210,40,2024-07-10,2025-07-10
211,10,2024-07-13,2025-07-13
212,73,2024-07-14,2025-07-14
213,25,2024-07-15,2025-07-15
214,96,2024-07-16,2025-07-16
215,93,2024-07-17,2025-07-17
216,5,2024-07-19,2025-07-19
217,9,2024-07-21,2025-07-21
218,7,2024-07-22,2025-07-22
219,97,2024-07-25,2025-07-25
220,4,2024-07-25,2025-07-25
221,52,2024-07-31,2025-07-31
222,94,2024-07-31,2025-07-31
223,14,2024-08-05,2025-08-05
224,65,2024-08-13,2025-08-13
225,28,2024-08-15,2025-08-15
226,60,2024-08-23,2025-08-23
227,80,2024-08-25,2025-08-25
228,86,2024-09-01,2025-09-01
229,13,2024-09-05,2025-09-05
230,58,2024-09-14,2025-09-14
231,11,2024-09-14,2025-09-14
232,34,2024-09-15,2025-09-15
233,72,2024-09-23,2025-09-23
234,16,2024-09-25,2025-09-25
235,47,2024-09-26,2025-09-26
236,59,2024-09-27,2025-09-27
237,61,2024-10-05,2025-10-05
238,21,2024-10-06,2025-10-06
239,99,2024-10-08,2025-10-08
240,51,2024-10-15,2025-10-15
241,54,2024-10-25,2025-10-25
242,22,2024-10-26,2025-10-26
243,48,2024-11-08,2025-11-08
244,77,2024-11-11,2025-11-11
245,2,2024-11-13,2025-11-13
246,42,2024-11-14,2025-11-14
247,83,2024-11-14,2025-11-14
248,44,2024-11-24,2025-11-24
249,30,2024-11-26,2025-11-26
250,12,2024-12-02,2025-12-02
251,81,2024-12-09,2025-12-09
252,18,2024-12-13,2025-12-13
253,92,2024-12-16,2025-12-16
254,90,2024-12-21,2025-12-21
255,79,2024-12-23,2025-12-23
256,57,2024-12-26,2025-12-26
257,89,2024-12-29,2025-12-29
